"","UF","status","n","year","week","min","max"
"7345","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7346","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","1",2014,3,"1","1"
"7347","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7348","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7349","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7350","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7351","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","3",2014,3,"3","3"
"7352","Paraná","Dado estável. Sujeito a pequenas alterações.","1",2014,3,"1","1"
"7353","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7354","Pará","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7355","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7356","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7357","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7358","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","1",2014,3,"1","1"
"7359","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7360","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7361","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7362","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7363","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7364","São Paulo","Dado estável. Sujeito a pequenas alterações.","4",2014,3,"4","4"
"7365","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7366","Acre","Dado estável. Sujeito a pequenas alterações.","0",2014,4,"0","0"
"7367","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2014,4,"0","0"
"7368","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2014,4,"0","0"
"7369","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2014,4,"0","0"
"7370","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2014,4,"0","0"
"7371","Brasil","Dado estável. Sujeito a pequenas alterações.","6",2014,4,"6","6"
