"","UF","status","n","year","week","min","max"
"293","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"294","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"295","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"296","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"297","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"298","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"299","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"300","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"301","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"302","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"303","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"304","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"305","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"306","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"307","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"308","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"309","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"310","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
"311","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
"312","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
"313","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
"314","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
"315","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
"316","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
"317","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
"318","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,12,"0","0"
